date;brent_m1;brent_bid_m1;brent_ask_m1;brent_m2;brent_bid_m2;brent_ask_m2;expiry_day;volume
2002-12-30;29,28;29,275;29,285;28,33;28,32;28,34;FA£SZ;23037
2003-01-02;29,43;29,425;29,435;28,48;28,47;28,49;FA£SZ;20943
2003-01-03;30,77;30,76;30,78;29,59;29,575;29,605;FA£SZ;23163
2003-01-06;30,2;30,165;30,235;28,92;28,88;28,96;FA£SZ;32675
2003-01-07;29,33;29,29;29,37;28,37;28,325;28,415;FA£SZ;40642
2003-01-08;28,79;28,77;28,81;27,95;27,925;27,975;FA£SZ;56695
2003-01-09;29,64;29,585;29,695;28,94;28,88;29;FA£SZ;49816
2003-01-10;29,67;29,63;29,71;28,73;28,685;28,775;FA£SZ;46450
2003-01-13;30,2;30,18;30,22;29,38;29,355;29,405;FA£SZ;39887
2003-01-14;30,61;30,57;30,65;29,62;29,575;29,665;FA£SZ;71231
2003-01-15;31,22;31,165;31,275;30,14;30,08;30,2;PRAWDA;56919
2003-01-16;31,66;31,645;31,675;30,58;30,56;30,6;FA£SZ;65723
2003-01-17;30,54;30,515;30,565;29,82;29,79;29,85;FA£SZ;20148
2003-01-20;30,65;30,625;30,675;29,86;29,83;29,89;FA£SZ;5790
2003-01-21;30,74;30,73;30,75;29,98;29,965;29,995;FA£SZ;23152
2003-01-22;30,34;30,295;30,385;29,7;29,65;29,75;FA£SZ;22547
2003-01-23;29,72;29,67;29,77;29,33;29,275;29,385;FA£SZ;29682
2003-01-24;30,49;30,46;30,52;29,97;29,935;30,005;FA£SZ;29918
2003-01-27;29,86;29,845;29,875;29,45;29,43;29,47;FA£SZ;23044
2003-01-28;30,27;30,205;30,335;29,88;29,81;29,95;FA£SZ;26406
2003-01-29;31,02;30,96;31,08;30,68;30,615;30,745;FA£SZ;38171
2003-01-30;31,21;31,055;31,365;30,82;30,66;30,98;FA£SZ;29285
2003-01-31;31,1;31,06;31,14;30,72;30,675;30,765;FA£SZ;21101
2003-02-03;30,25;30,21;30,29;30;29,955;30,045;FA£SZ;21541
2003-02-04;31,09;30,88;31,3;30,75;30,535;30,965;FA£SZ;29269
2003-02-05;31,36;31,315;31,405;31,1;31,05;31,15;FA£SZ;36420
2003-02-06;31,44;31,425;31,455;31,13;31,11;31,15;FA£SZ;37281
2003-02-07;32,34;32,335;32,345;31,99;31,98;32;FA£SZ;36901
2003-02-10;31,7;31,67;31,73;31,27;31,235;31,305;FA£SZ;42388
2003-02-11;32,37;32,33;32,41;31,96;31,915;32,005;FA£SZ;54897
2003-02-12;32,45;32,445;32,455;31,95;31,94;31,96;FA£SZ;65644
2003-02-13;33,06;33,045;33,075;32,46;32,44;32,48;FA£SZ;57003
2003-02-14;32,5;32,43;32,57;31,67;31,595;31,745;PRAWDA;24106
2003-02-17;31,92;31,83;32,01;31,06;30,965;31,155;FA£SZ;9710
2003-02-18;32,54;32,485;32,595;31,57;31,51;31,63;FA£SZ;14865
2003-02-19;32,33;32,225;32,435;31,56;31,45;31,67;FA£SZ;14904
2003-02-20;31,56;31,505;31,615;30,93;30,87;30,99;FA£SZ;25099
2003-02-21;32,27;32,255;32,285;31,65;31,63;31,67;FA£SZ;21928
2003-02-24;33,15;33,13;33,17;32,49;32,465;32,515;FA£SZ;17871
2003-02-25;32,32;32,295;32,345;31,55;31,52;31,58;FA£SZ;25474
2003-02-26;33,07;33,015;33,125;32,18;32,12;32,24;FA£SZ;31515
2003-02-27;33,04;33,03;33,05;32,07;32,055;32,085;FA£SZ;41284
2003-02-28;32,79;32,76;32,82;31,82;31,785;31,855;FA£SZ;27649
2003-03-03;32,48;32,475;32,485;31,63;31,62;31,64;FA£SZ;27567
2003-03-04;33,09;33,07;33,11;32,11;32,085;32,135;FA£SZ;33789
2003-03-05;33;32,945;33,055;32;31,94;32,06;FA£SZ;28792
2003-03-06;33,53;33,515;33,545;32,52;32,5;32,54;FA£SZ;35497
2003-03-07;34,1;34,085;34,115;33,14;33,12;33,16;FA£SZ;42631
2003-03-10;33,69;33,675;33,705;32,92;32,9;32,94;FA£SZ;35085
2003-03-11;33,29;33,155;33,425;32,65;32,51;32,79;FA£SZ;51917
2003-03-12;33,91;33,84;33,98;33,21;33,135;33,285;FA£SZ;49815
2003-03-13;32,43;32,335;32,525;31,77;31,67;31,87;FA£SZ;64850
2003-03-14;31,38;31,375;31,385;30,13;30,12;30,14;PRAWDA;76688
2003-03-17;29,48;29,46;29,5;28,96;28,935;28,985;FA£SZ;19160
2003-03-18;27,25;27,23;27,27;26,88;26,855;26,905;FA£SZ;34813
2003-03-19;26,75;26,725;26,775;26,54;26,51;26,57;FA£SZ;35705
2003-03-20;25,5;25,485;25,515;25,3;25,28;25,32;FA£SZ;36733
2003-03-21;24,35;24,3;24,4;24,27;24,215;24,325;FA£SZ;48173
2003-03-24;26,09;26,07;26,11;25,71;25,685;25,735;FA£SZ;34097
2003-03-25;24,81;24,76;24,86;24,57;24,515;24,625;FA£SZ;33283
2003-03-26;25,29;25,275;25,305;24,81;24,79;24,83;FA£SZ;37027
2003-03-27;26,82;26,745;26,895;26,03;25,95;26,11;FA£SZ;43530
2003-03-28;26,35;26,315;26,385;25,85;25,81;25,89;FA£SZ;30225
2003-03-31;27,18;27,14;27,22;26,56;26,515;26,605;FA£SZ;25045
2003-04-01;26,36;26,34;26,38;25,73;25,705;25,755;FA£SZ;33497
2003-04-02;25,21;25,205;25,215;24,68;24,67;24,69;FA£SZ;47102
2003-04-03;25,5;25,425;25,575;24,98;24,9;25,06;FA£SZ;44728
